name,full_name,topics,description,created_at,updated_at,stargazers_count,forks_count,license
langchain,langchain-ai/langchain,no topic,🦜🔗 Build context-aware reasoning applications,2022-10-17,2024-04-07,81425,12434,MIT License
ChatGPT-Next-Web,ChatGPTNextWeb/ChatGPT-Next-Web,"chatgpt, cross-platform, desktop, fe, gemini, gemini-pro, gemini-server, gemini-ultra, groq, nextjs, ollama, react, tauri, tauri-app, vercel, webui",A cross-platform ChatGPT/Gemini UI (Web / PWA / Linux / Win / MacOS). 一键拥有你自己的跨平台 ChatGPT/Gemini 应用。,2023-03-10,2024-04-07,66548,54259,MIT License
awesome-machine-learning,josephmisiti/awesome-machine-learning,no topic,"A curated list of awesome Machine Learning frameworks, libraries and software.",2014-07-15,2024-04-07,63304,14447,Other
awesome-cpp,fffaraz/awesome-cpp,"awesome, awesome-list, c, c-plus-plus, cpp, cpp-library, cppcon, libraries, list, lists, programming-tutorial, resources","A curated list of awesome C++ (or C) frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff.",2014-07-17,2024-04-07,55101,7613,MIT License
llama.cpp,ggerganov/llama.cpp,"ggml, llama",LLM inference in C/C++,2023-03-10,2024-04-07,54581,7703,MIT License
ollama,ollama/ollama,"go, golang, llama, llama2, llm, llms, mistral, ollama","Get up and running with Llama 2, Mistral, Gemma, and other large language models.",2023-06-26,2024-04-07,53219,3691,MIT License
private-gpt,zylon-ai/private-gpt,no topic,"Interact with your documents using the power of GPT, 100% privately, no data leaks",2023-05-02,2024-04-07,51134,6804,Apache License 2.0
annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,"attention, deep-learning, deep-learning-tutorial, gan, literate-programming, machine-learning, neural-networks, optimizers, pytorch, reinforcement-learning, transformer, transformers","🧑‍🏫 60 Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",2020-08-25,2024-04-07,46829,4903,MIT License
professional-programming,charlax/professional-programming,"architecture, computer-science, concepts, documentation, engineer, learning, lessons-learned, professional, programmer, programming-language, read-articles, scalability, software-engineering",A collection of learning resources for curious software engineers,2015-11-07,2024-04-07,45023,3590,MIT License
Prompt-Engineering-Guide,dair-ai/Prompt-Engineering-Guide,"chatgpt, deep-learning, language-model, openai, prompt-engineering","🐙 Guides, papers, lecture, notebooks and resources for prompt engineering",2022-12-16,2024-04-07,43112,4081,MIT License
