repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
microsoft/generative-ai-for-beginners,Tutorials,,39458,1420,3.60%,7662,19.42%,21108,"18 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/","john0isaac, koreyspace, yoshioterada",54,2023-06-19,2024-03-26,0
princeton-nlp/SWE-agent,Applications,Coding,4479,1352,30.19%,0,0.00%,370,SWE-agent: Agent Computer Interfaces Enable Software Engineering Language Models,"carlosejimenez, john-b-yang, klieret",9,2024-04-02,2024-04-04,0
stitionai/devika,Applications,Coding,14384,402,2.79%,2332,16.21%,1739,"Devika is an Agentic AI Software Engineer that can understand high-level human instructions, break them down into steps, research relevant information, and write code to achieve the given objective. Devika aims to be a competitive open-source alternative to Devin by Cognition AI.","mufeedvh, ARajgor, nalaso",31,2024-03-21,2024-04-04,0
mshumer/gpt-author,Applications,Writing,1959,229,11.69%,305,15.57%,283,,mshumer,1,2023-06-20,1000-01-01,0
janhq/jan,Applications,Bots,15933,223,1.40%,1998,12.54%,868,Jan is an open source alternative to ChatGPT that runs 100% offline on your computer,"henryh0x1, louis-jan, 0xSage",41,2023-08-17,2024-04-04,476374
jmorganca/ollama,AI engineering,AI interface,52673,207,0.39%,1503,2.85%,3647,"Get up and running with Llama 2, Mistral, Gemma, and other large language models.","mxyng, jmorganca, BruceMacD",100+,2023-06-26,2024-04-04,1500182
intel-analytics/BigDL,Model development,Inference optimization,5454,193,3.54%,479,8.78%,1170,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, etc.) on Intel CPU and GPU (e.g., local PC with iGPU, discrete GPU such as Arc, Flex and Max). A PyTorch LLM library that seamlessly integrates with llama.cpp, HuggingFace, LangChain, LlamaIndex, DeepSpeed, vLLM, FastChat, ModelScope, etc.","Oscilloscope98, rnwang04, plusbang",93,2016-08-29,2024-04-04,57
Mintplex-Labs/anything-llm,Applications,Info aggregation,10296,150,1.46%,517,5.02%,1091,"A multi-user ChatGPT for any LLMs and vector database. Unlimited documents, messages, and storage in one privacy-focused app. Now available as a desktop application with a built-in LLM!","timothycarambat, shatfield4, AntonioCiolino",34,2023-06-04,2024-04-03,0
Mozilla-Ocho/llamafile,Model development,Inference optimization,12052,147,1.22%,1269,10.53%,564,Distribute and run LLMs with a single file.,"jart, stlhood, ahgamut",28,2023-09-10,2024-04-02,6595
OpenBMB/ChatDev,Applications,Coding,21477,138,0.64%,856,3.99%,2684,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration),"thinkwee, Alphamasterliu, qianc62",49,2023-08-28,2024-02-22,0
